,Organization,Organization_Id,Provider_Id
,King Bio Inc.,225737533-5,541-63-4170
,Cipla Limited,462252621-2,861-75-9266
,REMEDYREPACK INC.,547970930-5,232-42-6615
,SAFEWAY INC,627307963-3,374-77-4750
,Sujanil Chemo Industries,580063922-1,370-02-3259
,NATURE REPUBLIC CO. LTD.,439381396-0,490-28-4071
,Roerig,090467962-4,833-05-8389
,Johnson & Johnson Consumer Products Company,400150792-7,353-21-4624
,Washington Homeopathic Products,928693941-8,281-55-5015
,Medline Industries Inc.,410841434-9,310-98-6309
,ALK-Abello Inc.,676588261-8,440-15-6621
,A-S Medication Solutions LLC,072931933-4,783-77-0051
,X-GEN Pharmaceuticals Inc.,202973736-4,314-48-5864
,Atlantic Biologicals Corps,651948678-7,621-28-8653
,Bradford Soap Works Inc.,469112191-9,458-31-7268
,Antigen Laboratories Inc.,930712159-1,879-99-0078
,Pfizer Laboratories Div Pfizer Inc,673482960-X,213-05-1647
,Hospira Inc.,199452713-7,642-97-8724
,Neutrogena Corporation,595149048-0,672-31-7898
,Vi-Jon Inc,840994217-8,659-31-9510
